date,depot,categorie,produit,quantite,prix_unitaire,montant
2024-01-04,Marrakech,Épicerie sucrée,Miel pur 1kg x6,4,330.0,1320.0
2024-01-04,Rabat,Épicerie sucrée,Confiture abricot 850g x12,17,160.0,2720.0
2024-01-04,Rabat,Boissons,Eau minérale 1.5L x6 (pack),3,27.0,81.0
2024-01-04,Marrakech,Sucres,Sucre en morceaux 5kg,6,47.0,282.0
2024-01-04,Marrakech,Condiments,Olives vertes 5kg,11,110.0,1210.0
2024-01-04,Marrakech,Laitiers,Fromage fondu x48,1,158.0,158.0
2024-01-04,Rabat,Laitiers,Lait en poudre 2.5kg,1,168.0,168.0
2024-01-04,Rabat,Laitiers,Fromage fondu x48,10,158.0,1580.0
2024-01-04,Marrakech,Biscuiterie,Chocolat tablette 100g x50,7,220.0,1540.0
2024-01-04,Casablanca,Conserves,Thon entier à l'huile x24,4,432.0,1728.0
2024-01-04,Casablanca,Riz & Pâtes,Couscous moyen 25kg,21,242.25,5087.25
2024-01-04,Casablanca,Condiments,Sel de table 1kg x24,32,46.0,1472.0
2024-01-04,Casablanca,Condiments,Épices ras el hanout 500g x10,8,148.0,1184.0
2024-01-04,Marrakech,Épicerie sucrée,Miel pur 1kg x6,10,330.0,3300.0
2024-01-05,Casablanca,Conserves,Sardines à l'huile x50,80,254.6,20368.0
2024-01-05,Rabat,Sucres,Sucre en morceaux 5kg,18,44.65,803.7
2024-01-05,Rabat,Riz & Pâtes,Riz long grain 25kg,4,285.0,1140.0
2024-01-05,Rabat,Légumineuses,Lentilles vertes 1kg x12,33,119.7,3950.1
2024-01-05,Rabat,Épicerie sucrée,Dattes Deglet Nour 5kg,16,232.75,3724.0
2024-01-05,Casablanca,Riz & Pâtes,Riz long grain 25kg,9,285.0,2565.0
2024-01-05,Rabat,Laitiers,Lait en poudre 2.5kg,4,168.0,672.0
2024-01-05,Marrakech,Épicerie sucrée,Confiture abricot 850g x12,2,160.0,320.0
2024-01-05,Rabat,Légumineuses,Pois chiches 1kg x12,19,112.1,2129.9
2024-01-05,Rabat,Légumineuses,Lentilles vertes 1kg x12,2,126.0,252.0
2024-01-05,Rabat,Épicerie sucrée,Confiture abricot 850g x12,2,160.0,320.0
2024-01-05,Casablanca,Farines,Farine de blé T55 25kg,7,172.0,1204.0
2024-01-05,Marrakech,Laitiers,Beurre 200g x40,6,296.0,1776.0
2024-01-05,Casablanca,Biscuiterie,Chocolat tablette 100g x50,10,220.0,2200.0
2024-01-05,Casablanca,Condiments,Sel de table 1kg x24,4,46.0,184.0
2024-01-05,Rabat,Laitiers,Fromage fondu x48,5,158.0,790.0
2024-01-05,Casablanca,Riz & Pâtes,Couscous moyen 25kg,2,255.0,510.0
2024-01-05,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),6,27.0,162.0
2024-01-06,Casablanca,Thés & Cafés,Thé vert Chunmee 41022 5kg,6,360.0,2160.0
2024-01-06,Rabat,Riz & Pâtes,Couscous moyen 25kg,18,255.0,4590.0
2024-01-06,Marrakech,Boissons,Jus d'orange 1L x12,86,105.0,9030.0
2024-01-06,Marrakech,Légumineuses,Pois chiches 1kg x12,4,118.0,472.0
2024-01-06,Rabat,Thés & Cafés,Thé vert Chunmee 41022 5kg,25,342.0,8550.0
2024-01-06,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,3,245.0,735.0
2024-01-06,Casablanca,Laitiers,Beurre 200g x40,2,296.0,592.0
2024-01-06,Rabat,Farines,Farine de blé T45 10kg,25,75.0,1875.0
2024-01-06,Rabat,Thés & Cafés,Thé vert gunpowder 1kg,8,88.0,704.0
2024-01-06,Casablanca,Biscuiterie,Gaufrettes chocolat x48,9,134.0,1206.0
2024-01-06,Rabat,Farines,Farine de blé T55 25kg,22,163.4,3594.8
2024-01-07,Marrakech,Sucres,Sucre en morceaux 5kg,5,47.0,235.0
2024-01-07,Marrakech,Légumineuses,Pois chiches 1kg x12,7,118.0,826.0
2024-01-07,Marrakech,Riz & Pâtes,Couscous moyen 25kg,3,255.0,765.0
2024-01-08,Rabat,Biscuiterie,Gaufrettes chocolat x48,3,134.0,402.0
2024-01-08,Rabat,Huiles,Huile d'olive extra vierge 1L,4,89.0,356.0
2024-01-08,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,11,160.0,1760.0
2024-01-08,Casablanca,Huiles,Huile de tournesol 5L,1,92.0,92.0
2024-01-08,Casablanca,Légumineuses,Lentilles vertes 1kg x12,93,119.7,11132.1
2024-01-08,Casablanca,Laitiers,Lait UHT 1L x12,80,85.5,6840.0
2024-01-08,Casablanca,Condiments,Sel de table 1kg x24,6,46.0,276.0
2024-01-08,Rabat,Boissons,Soda cola 1L x12,2,99.0,198.0
2024-01-09,Rabat,Condiments,Sel de table 1kg x24,7,46.0,322.0
2024-01-09,Casablanca,Laitiers,Beurre 200g x40,2,296.0,592.0
2024-01-09,Casablanca,Boissons,Jus d'orange 1L x12,3,105.0,315.0
2024-01-09,Marrakech,Farines,Farine de blé T45 10kg,6,75.0,450.0
2024-01-09,Casablanca,Riz & Pâtes,Riz long grain 25kg,3,285.0,855.0
2024-01-09,Casablanca,Biscuiterie,Chocolat tablette 100g x50,7,220.0,1540.0
2024-01-09,Marrakech,Biscuiterie,Chocolat tablette 100g x50,4,220.0,880.0
2024-01-09,Rabat,Conserves,Tomate concentrée 4.5kg x6,28,228.0,6384.0
2024-01-09,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,3,245.0,735.0
2024-01-09,Casablanca,Riz & Pâtes,Riz long grain 25kg,7,285.0,1995.0
2024-01-09,Rabat,Laitiers,Lait UHT 1L x12,22,90.0,1980.0
2024-01-09,Rabat,Thés & Cafés,Thé vert Chunmee 41022 5kg,22,342.0,7524.0
2024-01-09,Marrakech,Biscuiterie,Gaufrettes chocolat x48,1,134.0,134.0
2024-01-10,Casablanca,Laitiers,Lait en poudre 2.5kg,9,168.0,1512.0
2024-01-10,Casablanca,Huiles,Huile de tournesol 5L,9,92.0,828.0
2024-01-10,Rabat,Légumineuses,Pois chiches 1kg x12,26,112.1,2914.6
2024-01-10,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,84,152.0,12768.0
2024-01-10,Marrakech,Thés & Cafés,Café moulu 1kg,23,118.75,2731.25
2024-01-10,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,84,232.75,19551.0
2024-01-10,Casablanca,Boissons,Jus d'orange 1L x12,5,105.0,525.0
2024-01-10,Casablanca,Condiments,Olives vertes 5kg,8,110.0,880.0
2024-01-10,Rabat,Laitiers,Fromage fondu x48,20,150.1,3002.0
2024-01-10,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,63,83.6,5266.8
2024-01-10,Casablanca,Laitiers,Lait UHT 1L x12,6,90.0,540.0
2024-01-11,Marrakech,Huiles,Huile d'olive extra vierge 1L,8,89.0,712.0
2024-01-11,Marrakech,Riz & Pâtes,Couscous moyen 25kg,12,255.0,3060.0
2024-01-11,Casablanca,Épicerie sucrée,Miel pur 1kg x6,6,330.0,1980.0
2024-01-11,Casablanca,Thés & Cafés,Thé vert Chunmee 41022 5kg,19,360.0,6840.0
2024-01-11,Marrakech,Boissons,Eau minérale 1.5L x6 (pack),9,27.0,243.0
2024-01-11,Marrakech,Condiments,Vinaigre 1L x12,11,54.0,594.0
2024-01-11,Casablanca,Condiments,Sel de table 1kg x24,11,46.0,506.0
2024-01-11,Marrakech,Riz & Pâtes,Pâtes spaghetti 500g x20,7,90.0,630.0
2024-01-11,Marrakech,Huiles,Huile de tournesol 5L,14,92.0,1288.0
2024-01-11,Marrakech,Laitiers,Lait UHT 1L x12,7,90.0,630.0
2024-01-11,Marrakech,Légumineuses,Pois chiches 1kg x12,2,118.0,236.0
2024-01-11,Rabat,Thés & Cafés,Thé vert Chunmee 41022 5kg,28,342.0,9576.0
2024-01-11,Marrakech,Laitiers,Fromage fondu x48,19,158.0,3002.0
2024-01-11,Marrakech,Conserves,Tomate concentrée 4.5kg x6,6,240.0,1440.0
2024-01-12,Casablanca,Laitiers,Beurre 200g x40,4,296.0,1184.0
2024-01-12,Casablanca,Laitiers,Lait UHT 1L x12,8,90.0,720.0
2024-01-12,Rabat,Condiments,Épices ras el hanout 500g x10,24,140.6,3374.4
2024-01-12,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,86,152.0,13072.0
2024-01-12,Marrakech,Condiments,Vinaigre 1L x12,27,51.3,1385.1
2024-01-12,Marrakech,Laitiers,Beurre 200g x40,2,296.0,592.0
2024-01-12,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),12,27.0,324.0
2024-01-12,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,79,232.75,18387.25
2024-01-12,Marrakech,Condiments,Épices ras el hanout 500g x10,10,148.0,1480.0
2024-01-12,Marrakech,Laitiers,Fromage fondu x48,8,158.0,1264.0
2024-01-12,Casablanca,Condiments,Sel de table 1kg x24,9,46.0,414.0
2024-01-12,Casablanca,Conserves,Thon entier à l'huile x24,8,432.0,3456.0
2024-01-12,Marrakech,Huiles,Huile d'olive extra vierge 1L,8,89.0,712.0
2024-01-12,Casablanca,Laitiers,Fromage fondu x48,102,150.1,15310.2
2024-01-12,Casablanca,Condiments,Épices ras el hanout 500g x10,3,148.0,444.0
2024-01-13,Marrakech,Farines,Farine de blé T45 10kg,4,75.0,300.0
2024-01-13,Casablanca,Boissons,Jus d'orange 1L x12,9,105.0,945.0
2024-01-13,Casablanca,Boissons,Jus d'orange 1L x12,3,105.0,315.0
2024-01-13,Rabat,Riz & Pâtes,Couscous moyen 25kg,11,255.0,2805.0
2024-01-13,Casablanca,Laitiers,Fromage fondu x48,6,158.0,948.0
2024-01-13,Casablanca,Riz & Pâtes,Couscous moyen 25kg,5,255.0,1275.0
2024-01-13,Marrakech,Boissons,Soda cola 1L x12,3,99.0,297.0
2024-01-13,Marrakech,Biscuiterie,Chocolat tablette 100g x50,4,220.0,880.0
2024-01-13,Rabat,Laitiers,Beurre 200g x40,4,296.0,1184.0
2024-01-13,Casablanca,Laitiers,Fromage fondu x48,10,158.0,1580.0
2024-01-13,Marrakech,Laitiers,Beurre 200g x40,6,296.0,1776.0
2024-01-14,Casablanca,Biscuiterie,Chocolat tablette 100g x50,4,220.0,880.0
2024-01-15,Marrakech,Légumineuses,Lentilles vertes 1kg x12,7,126.0,882.0
2024-01-15,Rabat,Condiments,Sel de table 1kg x24,10,46.0,460.0
2024-01-15,Casablanca,Légumineuses,Haricots blancs 1kg x12,2,122.0,244.0
2024-01-15,Marrakech,Thés & Cafés,Thé vert gunpowder 1kg,5,88.0,440.0
2024-01-16,Casablanca,Sucres,Sucre granulé 50kg,8,355.0,2840.0
2024-01-16,Casablanca,Laitiers,Fromage fondu x48,2,158.0,316.0
2024-01-16,Marrakech,Boissons,Soda cola 1L x12,4,99.0,396.0
2024-01-16,Casablanca,Huiles,Huile de tournesol 5L,4,92.0,368.0
2024-01-16,Casablanca,Sucres,Sucre granulé 50kg,7,355.0,2485.0
2024-01-16,Casablanca,Farines,Farine de blé T55 25kg,5,172.0,860.0
2024-01-16,Casablanca,Riz & Pâtes,Pâtes spaghetti 500g x20,12,90.0,1080.0
2024-01-16,Casablanca,Boissons,Jus d'orange 1L x12,1,105.0,105.0
2024-01-16,Casablanca,Biscuiterie,Biscuits fourrés x36,27,115.0,3105.0
2024-01-17,Marrakech,Farines,Farine de blé T45 10kg,2,75.0,150.0
2024-01-17,Rabat,Huiles,Huile d'olive extra vierge 1L,6,89.0,534.0
2024-01-17,Casablanca,Farines,Farine de blé T45 10kg,5,75.0,375.0
2024-01-17,Casablanca,Sucres,Sucre en morceaux 5kg,24,44.65,1071.6
2024-01-17,Rabat,Biscuiterie,Gaufrettes chocolat x48,1,134.0,134.0
2024-01-17,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,18,245.0,4410.0
2024-01-17,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,3,160.0,480.0
2024-01-17,Casablanca,Sucres,Sucre en morceaux 5kg,23,44.65,1026.95
2024-01-18,Rabat,Biscuiterie,Chocolat tablette 100g x50,11,220.0,2420.0
2024-01-18,Casablanca,Conserves,Thon entier à l'huile x24,3,432.0,1296.0
2024-01-18,Rabat,Laitiers,Lait en poudre 2.5kg,22,159.6,3511.2
2024-01-18,Rabat,Farines,Farine de blé T55 25kg,20,163.4,3268.0
2024-01-18,Marrakech,Biscuiterie,Biscuits fourrés x36,6,115.0,690.0
2024-01-18,Casablanca,Conserves,Sardines à l'huile x50,22,254.6,5601.2
2024-01-18,Marrakech,Condiments,Olives vertes 5kg,3,110.0,330.0
2024-01-18,Rabat,Thés & Cafés,Thé vert Chunmee 41022 5kg,22,342.0,7524.0
2024-01-18,Rabat,Épicerie sucrée,Miel pur 1kg x6,1,330.0,330.0
2024-01-18,Rabat,Biscuiterie,Gaufrettes chocolat x48,1,134.0,134.0
2024-01-18,Rabat,Huiles,Huile de tournesol 5L,5,92.0,460.0
2024-01-19,Rabat,Épicerie sucrée,Dattes Deglet Nour 5kg,4,245.0,980.0
2024-01-19,Casablanca,Thés & Cafés,Café moulu 1kg,87,118.75,10331.25
2024-01-19,Rabat,Épicerie sucrée,Dattes Deglet Nour 5kg,4,245.0,980.0
2024-01-19,Rabat,Légumineuses,Haricots blancs 1kg x12,4,122.0,488.0
2024-01-19,Marrakech,Biscuiterie,Chocolat tablette 100g x50,20,220.0,4400.0
2024-01-19,Casablanca,Condiments,Sel de table 1kg x24,2,46.0,92.0
2024-01-19,Casablanca,Condiments,Sel de table 1kg x24,17,43.7,742.9
2024-01-19,Marrakech,Conserves,Tomate concentrée 4.5kg x6,34,228.0,7752.0
2024-01-19,Casablanca,Conserves,Thon entier à l'huile x24,36,432.0,15552.0
2024-01-19,Marrakech,Farines,Farine de blé T55 25kg,2,172.0,344.0
2024-01-19,Casablanca,Riz & Pâtes,Couscous moyen 25kg,2,255.0,510.0
2024-01-19,Casablanca,Condiments,Sel de table 1kg x24,76,43.7,3321.2
2024-01-19,Marrakech,Thés & Cafés,Café moulu 1kg,3,125.0,375.0
2024-01-19,Marrakech,Boissons,Eau minérale 1.5L x6 (pack),4,27.0,108.0
2024-01-19,Casablanca,Farines,Farine de blé T55 25kg,2,172.0,344.0
2024-01-20,Casablanca,Thés & Cafés,Café moulu 1kg,8,125.0,1000.0
2024-01-20,Marrakech,Légumineuses,Haricots blancs 1kg x12,1,122.0,122.0
2024-01-20,Rabat,Conserves,Thon entier à l'huile x24,5,432.0,2160.0
2024-01-20,Rabat,Épicerie sucrée,Miel pur 1kg x6,10,330.0,3300.0
2024-01-20,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,4,88.0,352.0
2024-01-21,Rabat,Boissons,Jus d'orange 1L x12,22,105.0,2310.0
2024-01-21,Rabat,Biscuiterie,Gaufrettes chocolat x48,5,134.0,670.0
2024-01-21,Casablanca,Condiments,Vinaigre 1L x12,7,54.0,378.0
2024-01-22,Casablanca,Huiles,Huile de tournesol 5L,2,92.0,184.0
2024-01-22,Marrakech,Conserves,Tomate concentrée 4.5kg x6,6,240.0,1440.0
2024-01-22,Casablanca,Riz & Pâtes,Riz long grain 25kg,3,285.0,855.0
2024-01-22,Casablanca,Laitiers,Lait en poudre 2.5kg,21,159.6,3351.6
2024-01-22,Rabat,Sucres,Sucre en morceaux 5kg,10,47.0,470.0
2024-01-22,Casablanca,Boissons,Soda cola 1L x12,2,99.0,198.0
2024-01-22,Casablanca,Condiments,Vinaigre 1L x12,3,54.0,162.0
2024-01-22,Marrakech,Sucres,Sucre granulé 50kg,17,337.25,5733.25
2024-01-22,Casablanca,Thés & Cafés,Café moulu 1kg,3,125.0,375.0
2024-01-22,Rabat,Boissons,Soda cola 1L x12,8,99.0,792.0
2024-01-23,Rabat,Sucres,Sucre en morceaux 5kg,3,47.0,141.0
2024-01-23,Casablanca,Épicerie sucrée,Miel pur 1kg x6,9,330.0,2970.0
2024-01-23,Casablanca,Condiments,Épices ras el hanout 500g x10,1,148.0,148.0
2024-01-23,Rabat,Légumineuses,Pois chiches 1kg x12,3,118.0,354.0
2024-01-23,Casablanca,Conserves,Sardines à l'huile x50,10,268.0,2680.0
2024-01-23,Casablanca,Boissons,Jus d'orange 1L x12,13,105.0,1365.0
2024-01-23,Rabat,Biscuiterie,Gaufrettes chocolat x48,20,127.3,2546.0
2024-01-23,Rabat,Légumineuses,Lentilles vertes 1kg x12,8,126.0,1008.0
2024-01-23,Casablanca,Conserves,Tomate concentrée 4.5kg x6,4,240.0,960.0
2024-01-24,Casablanca,Farines,Farine de blé T55 25kg,1,172.0,172.0
2024-01-24,Marrakech,Huiles,Huile d'olive extra vierge 1L,4,89.0,356.0
2024-01-24,Casablanca,Biscuiterie,Biscuits fourrés x36,88,109.25,9614.0
2024-01-24,Rabat,Condiments,Épices ras el hanout 500g x10,8,148.0,1184.0
2024-01-24,Casablanca,Riz & Pâtes,Riz long grain 25kg,2,285.0,570.0
2024-01-24,Casablanca,Laitiers,Fromage fondu x48,4,158.0,632.0
2024-01-24,Rabat,Riz & Pâtes,Riz long grain 25kg,10,285.0,2850.0
2024-01-24,Casablanca,Riz & Pâtes,Couscous moyen 25kg,65,242.25,15746.25
2024-01-24,Marrakech,Boissons,Jus d'orange 1L x12,9,105.0,945.0
2024-01-24,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,3,245.0,735.0
2024-01-24,Casablanca,Riz & Pâtes,Pâtes spaghetti 500g x20,1,90.0,90.0
2024-01-25,Marrakech,Farines,Farine de blé T55 25kg,4,172.0,688.0
2024-01-25,Rabat,Condiments,Épices ras el hanout 500g x10,15,148.0,2220.0
2024-01-25,Casablanca,Conserves,Thon entier à l'huile x24,6,432.0,2592.0
2024-01-25,Marrakech,Conserves,Tomate concentrée 4.5kg x6,20,240.0,4800.0
2024-01-25,Marrakech,Biscuiterie,Biscuits fourrés x36,3,115.0,345.0
2024-01-25,Rabat,Farines,Farine de blé T45 10kg,2,75.0,150.0
2024-01-26,Casablanca,Farines,Farine de blé T55 25kg,1,172.0,172.0
2024-01-26,Rabat,Farines,Farine de blé T45 10kg,4,75.0,300.0
2024-01-26,Casablanca,Riz & Pâtes,Couscous moyen 25kg,7,255.0,1785.0
2024-01-26,Rabat,Biscuiterie,Chocolat tablette 100g x50,2,220.0,440.0
2024-01-26,Casablanca,Biscuiterie,Gaufrettes chocolat x48,3,134.0,402.0
2024-01-26,Rabat,Riz & Pâtes,Pâtes spaghetti 500g x20,5,90.0,450.0
2024-01-26,Casablanca,Condiments,Épices ras el hanout 500g x10,80,140.6,11248.0
2024-01-26,Rabat,Sucres,Sucre en morceaux 5kg,10,47.0,470.0
2024-01-26,Casablanca,Conserves,Thon entier à l'huile x24,10,432.0,4320.0
2024-01-26,Rabat,Épicerie sucrée,Confiture abricot 850g x12,22,152.0,3344.0
2024-01-26,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,8,160.0,1280.0
2024-01-26,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,1,245.0,245.0
2024-01-26,Marrakech,Boissons,Eau minérale 1.5L x6 (pack),2,27.0,54.0
2024-01-26,Rabat,Légumineuses,Lentilles vertes 1kg x12,27,126.0,3402.0
2024-01-26,Casablanca,Huiles,Huile de tournesol 5L,5,92.0,460.0
2024-01-26,Casablanca,Condiments,Vinaigre 1L x12,8,54.0,432.0
2024-01-26,Casablanca,Farines,Farine de blé T45 10kg,8,75.0,600.0
2024-01-26,Rabat,Riz & Pâtes,Couscous moyen 25kg,10,255.0,2550.0
2024-01-26,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,80,232.75,18620.0
2024-01-26,Rabat,Condiments,Sel de table 1kg x24,5,46.0,230.0
2024-01-26,Rabat,Épicerie sucrée,Confiture abricot 850g x12,21,152.0,3192.0
2024-01-26,Casablanca,Laitiers,Lait UHT 1L x12,61,85.5,5215.5
2024-01-26,Casablanca,Boissons,Jus d'orange 1L x12,1,105.0,105.0
2024-01-26,Rabat,Thés & Cafés,Thé vert gunpowder 1kg,9,88.0,792.0
2024-01-27,Casablanca,Conserves,Tomate concentrée 4.5kg x6,9,240.0,2160.0
2024-01-27,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,10,245.0,2450.0
2024-01-27,Rabat,Biscuiterie,Chocolat tablette 100g x50,25,209.0,5225.0
2024-01-27,Casablanca,Farines,Farine de blé T55 25kg,7,172.0,1204.0
2024-01-27,Marrakech,Laitiers,Fromage fondu x48,8,158.0,1264.0
2024-01-27,Casablanca,Sucres,Sucre en morceaux 5kg,4,47.0,188.0
2024-01-27,Casablanca,Conserves,Tomate concentrée 4.5kg x6,4,240.0,960.0
2024-01-28,Marrakech,Laitiers,Beurre 200g x40,10,296.0,2960.0
2024-01-28,Casablanca,Biscuiterie,Chocolat tablette 100g x50,2,220.0,440.0
2024-01-28,Casablanca,Laitiers,Lait UHT 1L x12,30,85.5,2565.0
2024-01-28,Casablanca,Boissons,Jus d'orange 1L x12,7,105.0,735.0
2024-01-29,Rabat,Légumineuses,Pois chiches 1kg x12,4,118.0,472.0
2024-01-29,Marrakech,Farines,Farine de blé T45 10kg,19,71.25,1353.75
2024-01-29,Casablanca,Riz & Pâtes,Pâtes spaghetti 500g x20,20,85.5,1710.0
2024-01-29,Casablanca,Biscuiterie,Gaufrettes chocolat x48,18,134.0,2412.0
2024-01-29,Marrakech,Laitiers,Fromage fondu x48,11,158.0,1738.0
2024-01-29,Casablanca,Sucres,Sucre en morceaux 5kg,6,47.0,282.0
2024-01-29,Marrakech,Laitiers,Fromage fondu x48,22,150.1,3302.2
2024-01-29,Casablanca,Riz & Pâtes,Riz long grain 25kg,7,285.0,1995.0
2024-01-29,Rabat,Farines,Farine de blé T45 10kg,4,75.0,300.0
2024-01-29,Casablanca,Laitiers,Fromage fondu x48,11,158.0,1738.0
2024-01-30,Casablanca,Farines,Farine de blé T45 10kg,10,75.0,750.0
2024-01-30,Rabat,Boissons,Eau minérale 1.5L x6 (pack),3,27.0,81.0
2024-01-30,Marrakech,Légumineuses,Lentilles vertes 1kg x12,28,119.7,3351.6
2024-01-30,Marrakech,Sucres,Sucre granulé 50kg,21,337.25,7082.25
2024-01-30,Casablanca,Biscuiterie,Biscuits fourrés x36,21,109.25,2294.25
2024-01-30,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,14,88.0,1232.0
2024-01-30,Casablanca,Condiments,Olives vertes 5kg,12,110.0,1320.0
2024-01-30,Rabat,Sucres,Sucre granulé 50kg,4,355.0,1420.0
2024-01-30,Marrakech,Biscuiterie,Gaufrettes chocolat x48,22,134.0,2948.0
2024-01-30,Rabat,Thés & Cafés,Thé vert Chunmee 41022 5kg,5,360.0,1800.0
2024-01-30,Marrakech,Légumineuses,Pois chiches 1kg x12,4,118.0,472.0
2024-01-31,Marrakech,Huiles,Huile de tournesol 5L,15,92.0,1380.0
2024-01-31,Casablanca,Farines,Farine de blé T45 10kg,7,75.0,525.0
2024-01-31,Marrakech,Riz & Pâtes,Couscous moyen 25kg,3,255.0,765.0
2024-01-31,Casablanca,Laitiers,Fromage fondu x48,10,158.0,1580.0
2024-01-31,Casablanca,Conserves,Thon entier à l'huile x24,1,432.0,432.0
2024-01-31,Casablanca,Sucres,Sucre en morceaux 5kg,94,44.65,4197.1
2024-01-31,Rabat,Farines,Farine de blé T45 10kg,1,75.0,75.0
2024-01-31,Marrakech,Riz & Pâtes,Couscous moyen 25kg,5,255.0,1275.0
2024-01-31,Casablanca,Huiles,Huile de tournesol 5L,6,92.0,552.0
2024-01-31,Rabat,Riz & Pâtes,Couscous moyen 25kg,8,255.0,2040.0
2024-02-01,Rabat,Conserves,Tomate concentrée 4.5kg x6,100,240.0,24000.0
2024-02-01,Rabat,Thés & Cafés,Thé vert gunpowder 1kg,80,88.0,7040.0
2024-02-01,Marrakech,Boissons,Jus d'orange 1L x12,1,105.0,105.0
2024-02-01,Casablanca,Riz & Pâtes,Riz long grain 25kg,1,285.0,285.0
2024-02-01,Rabat,Légumineuses,Haricots blancs 1kg x12,2,122.0,244.0
2024-02-01,Rabat,Sucres,Sucre en morceaux 5kg,10,47.0,470.0
2024-02-02,Rabat,Conserves,Thon entier à l'huile x24,8,432.0,3456.0
2024-02-02,Rabat,Boissons,Soda cola 1L x12,3,99.0,297.0
